field_id,date,ndvi
F001,2024-10-26,0.216
F001,2024-11-05,0.199
F001,2024-11-25,0.244
F001,2024-12-05,0.246
F001,2024-12-15,0.397
F001,2024-12-25,0.492
F001,2025-01-04,0.643
F001,2025-01-14,0.738
F001,2025-02-03,0.809
F001,2025-02-13,0.797
F001,2025-03-05,0.649
F001,2025-03-25,0.396
F001,2025-04-04,0.148
F002,2024-10-06,0.103
F002,2024-10-16,0.274
F002,2024-11-05,0.441
F002,2024-11-15,0.563
F002,2024-12-05,0.692
F002,2024-12-15,0.703
F002,2025-01-04,0.551
F002,2025-01-14,0.418
F002,2025-01-24,0.297
F002,2025-02-03,0.182
F002,2025-02-23,0.113
F002,2025-03-05,0.143
F002,2025-03-15,0.178
F002,2025-03-25,0.113
F002,2025-04-04,0.207
F003,2024-10-06,0.161
F003,2024-10-16,0.172
F003,2024-10-26,0.156
F003,2024-11-05,0.134
F003,2024-11-15,0.259
F003,2024-11-25,0.295
F003,2024-12-15,0.423
F003,2024-12-25,0.479
F003,2025-01-04,0.55
F003,2025-01-14,0.617
F003,2025-01-24,0.654
F003,2025-02-03,0.594
F003,2025-02-13,0.478
F003,2025-03-15,0.145
F003,2025-03-25,0.073
F003,2025-04-04,0.12
F004,2024-10-06,0.549
F004,2024-10-16,0.534
F004,2024-10-26,0.555
F004,2024-11-15,0.542
F004,2024-11-25,0.724
F004,2024-12-05,0.63
F004,2024-12-15,0.609
F004,2024-12-25,0.617
F004,2025-01-14,0.606
F004,2025-01-24,0.569
F004,2025-02-03,0.53
F004,2025-02-13,0.544
F004,2025-03-15,0.571
F004,2025-03-25,0.692
F004,2025-04-04,0.645
F005,2024-10-16,0.168
F005,2024-10-26,0.168
F005,2024-11-15,0.308
F005,2024-11-25,0.4
F005,2024-12-05,0.49
F005,2024-12-15,0.657
F005,2025-01-04,0.708
F005,2025-01-14,0.784
F005,2025-01-24,0.828
F005,2025-02-13,0.72
F005,2025-02-23,0.489
F005,2025-03-05,0.343
F005,2025-03-15,0.263
F005,2025-04-04,0.183
F006,2024-10-06,0.184
F006,2024-10-26,0.088
F006,2024-11-05,0.206
F006,2024-11-15,0.027
F006,2024-12-05,0.187
F006,2024-12-15,0.181
F006,2024-12-25,0.151
F006,2025-01-04,0.144
F006,2025-01-14,0.077
F006,2025-01-24,0.195
F006,2025-02-13,0.096
F006,2025-02-23,0.261
F006,2025-03-05,0.137
F006,2025-03-15,0.121
F006,2025-03-25,0.157
F007,2025-01-15,0.62
F008,not-a-date,NaN
